high date,high close,next high date,next high close,date diff,close diff,close diff (%),last high,remaining highs,min days no high
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,90
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,9,90
2016-08-15,2190.149902,2016-11-21,2198.179932,98.0,8.03,0.36700000000000005,1,83,90
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,90
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,12,90
2019-07-26,3025.860107,2019-10-28,3039.419922,94.0,13.56,0.44799999999999995,1,35,90
1928-05-14,20.440001,1928-08-28,20.540001,106.0,0.1,0.489,1,80,100
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,66,100
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,100
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,100
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,100
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,100
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,100
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,101,100
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,20,100
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,100
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,100
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,100
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,100
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,30,100
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,100
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,29,100
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,90,100
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,100
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,100
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,10,100
1991-04-17,390.450012,1991-08-06,390.619995,111.0,0.17,0.044000000000000004,1,14,100
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,100
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,100
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,92,100
1996-05-24,678.51001,1996-09-13,680.539978,112.0,2.03,0.299,1,108,100
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,31,100
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,12,100
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,100
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,100
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,93,100
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,100
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,48,100
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,66,110
1955-11-14,46.41,1956-03-09,46.700001,116.0,0.29,0.625,1,6,110
1956-03-20,48.869999,1956-07-16,49.139999,118.0,0.27,0.552,1,8,110
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,110
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,110
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,110
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,101,110
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,20,110
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,110
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,110
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,110
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,110
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,30,110
1983-06-22,170.990005,1983-10-10,172.649994,110.0,1.66,0.971,1,0,110
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,29,110
1985-07-17,195.649994,1985-11-11,197.279999,117.0,1.63,0.833,1,90,110
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,110
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,110
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,10,110
1991-04-17,390.450012,1991-08-06,390.619995,111.0,0.17,0.044000000000000004,1,14,110
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,110
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,110
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,92,110
1996-05-24,678.51001,1996-09-13,680.539978,112.0,2.03,0.299,1,108,110
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,31,110
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,12,110
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,110
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,110
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,93,110
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,110
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,48,110
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,82,120
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,120
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,120
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,120
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,101,120
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,20,120
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,120
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,120
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,120
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,120
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,31,120
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,120,120
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,120
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,120
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,25,120
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,120
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,120
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,201,120
1998-07-17,1186.75,1998-11-23,1188.209961,129.0,1.46,0.12300000000000001,1,31,120
1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091,1,12,120
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,120
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,120
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,93,120
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,120
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,48,120
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,82,130
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,130
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,130
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,130
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,101,130
1965-05-13,90.269997,1965-09-27,90.650002,137.0,0.38,0.42100000000000004,1,20,130
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,130
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,130
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,130
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,130
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,31,130
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,120,130
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,130
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,130
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,25,130
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,130
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,130
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,246,130
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,130
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,130
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,93,130
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,130
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,48,130
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,82,140
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,140
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,140
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,140
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,122,140
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,140
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,140
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,140
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,140
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,31,140
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,120,140
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,140
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,140
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,25,140
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,140
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,140
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,246,140
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,140
2007-10-09,1565.150024,2013-03-28,1569.189941,1997.0,4.04,0.258,1,107,140
2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298,1,93,140
2018-01-26,2872.8701170000004,2018-08-24,2874.689941,210.0,1.82,0.063,1,4,140
2018-09-20,2930.75,2019-04-23,2933.679932,215.0,2.93,0.1,1,48,140
1929-09-16,31.860001,1954-09-22,32.0,9137.0,0.14,0.439,1,82,150
1956-08-03,49.639999,1958-09-24,49.779999,782.0,0.14,0.282,1,49,150
